Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-1.0,0,60.0,1399991,1.14346,0.0,1,-1.0,0,1.14346,SAT,,9.137,
2,1,1,-1.0,0,60.0,3317383,1.06649,0.0,1,-1.0,1,2.20995,SAT,,8.2,
3,2,1,1.0E9,0,60.0,1399991,0.0,0.0,-1,1.0E9,1,2.20995,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.622,
4,1,1,-1.0,0,60.0,5878414,1.06519,0.0,1,-1.0,1,3.2751400000000004,SAT,,7.608,
5,3,1,1.0E9,0,60.0,3317383,0.0,0.0,-1,1.0E9,1,3.2751400000000004,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.557,
