Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.222502,0,60.0,6652401,21.824,0.0,1,12.222502,0,21.824,SAT,,31.937,
2,1,1,11.587734,0,60.0,16510711,20.6438,0.0,1,11.587734,1,42.4678,SAT,,28.513,
3,2,1,11.272257,0,60.0,6652401,20.0677,0.0,1,11.272257,1,62.5355,SAT,,27.148,
4,2,1,10.784381,0,60.0,16510711,19.5804,0.0,1,10.784381,1,82.1159,SAT,,26.631,
5,2,1,10.507241,0,60.0,7786716,19.3402,0.0,1,10.507241,1,101.45609999999999,SAT,,26.397,
6,3,1,10.13058,0,60.0,6652401,19.0001,0.0,1,10.13058,1,120.4562,SAT,,26.024,
7,3,1,9.841564,0,60.0,16510711,18.7516,0.0,1,9.841564,1,139.2078,SAT,,25.662,
8,3,1,9.751138,0,60.0,7786716,18.7311,0.0,1,9.751138,1,157.9389,SAT,,25.678,
9,3,1,9.559453,0,60.0,10442784,18.5342,0.0,1,9.559453,2,176.4731,SAT,,25.495,
10,4,1,9.42377,0,60.0,10442784,18.5957,0.0,1,9.42377,2,195.06879999999998,SAT,,25.596,
11,4,1,9.240396,0,60.0,16510711,18.3605,0.0,1,9.240396,2,213.42929999999998,SAT,,25.266,
12,4,1,9.269317,0,60.0,6652401,18.3435,0.0,1,9.269317,2,231.7728,SAT,,25.25,
