Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,10.493978,0,60.0,7132216,20.8485,0.0,1,10.493978,0,20.8485,SAT,,29.91,
2,1,4,10.739578999999999,0,60.0,656386,21.7493,0.0,1,10.739578999999999,1,42.59780000000001,SAT,,28.746,
3,2,1,9.479614,0,60.0,7132216,19.4723,0.0,1,9.479614,1,62.07010000000001,SAT,,26.382,
4,2,4,10.951356,0,60.0,656386,21.7382,0.0,1,10.951356,1,83.8083,SAT,,28.668,
5,2,5,10.076022,0,60.0,2369068,20.2211,0.0,1,10.076022,1,104.02940000000001,SAT,,27.084,
6,3,1,9.504914,0,60.0,7132216,19.4681,0.0,1,9.504914,1,123.4975,SAT,,26.26,
7,2,8,10.705555,0,60.0,10589966,20.9615,0.0,1,10.705555,2,144.459,SAT,,27.829,
8,4,4,10.884009,0,60.0,656386,21.7012,0.0,1,10.884009,2,166.1602,SAT,,28.699,
9,4,1,9.703669,0,60.0,7132216,19.4927,0.0,1,9.703669,2,185.6529,SAT,,26.356,
10,4,5,10.169681,0,60.0,2369068,20.458,0.0,1,10.169681,2,206.1109,SAT,,27.391,
11,2,3,5.033225,0,60.0,6149708,11.3855,0.0,1,5.033225,2,217.4964,SAT,,17.89,
12,5,4,10.900144,0,60.0,656386,21.684,0.0,1,10.900144,2,239.1804,SAT,,28.565,
13,5,5,10.349057,0,60.0,2369068,20.5387,0.0,1,10.349057,2,259.71909999999997,SAT,,27.356,
14,5,3,5.016803,0,60.0,6149708,11.2309,0.0,1,5.016803,2,270.95,SAT,,17.684,
15,2,11,6.779496,0,60.0,2345062,14.2676,0.0,1,6.779496,3,285.2176,SAT,,20.904,
16,6,4,10.54797,0,60.0,656386,21.3189,0.0,1,10.54797,3,306.5365,SAT,,28.264,
17,6,5,10.018653,0,60.0,2369068,20.1948,0.0,1,10.018653,3,326.7313,SAT,,27.017,
18,6,3,4.968562,0,60.0,6149708,11.0694,0.0,1,4.968562,3,337.80069999999995,SAT,,17.57,
19,6,1,9.434124,0,60.0,7132216,19.5352,0.0,1,9.434124,3,357.3358999999999,SAT,,26.34,
20,6,11,6.821068,0,60.0,2345062,14.1331,0.0,1,6.821068,3,371.46899999999994,SAT,,20.766,
21,6,8,10.580861,0,60.0,10589966,20.7877,0.0,1,10.580861,3,392.2566999999999,SAT,,27.686,
22,6,7,8.493752,0,60.0,6314730,17.806,0.0,1,8.493752,3,410.0626999999999,SAT,,24.734,
23,7,4,10.808336,0,60.0,656386,21.5345,0.0,1,10.808336,3,431.5971999999999,SAT,,28.453,
24,6,9,11.460438,0,60.0,15945852,22.1833,0.0,1,11.460438,4,453.78049999999985,SAT,,29.362,
25,8,8,10.852557000000001,0,60.0,10589966,21.2938,0.0,1,10.852557000000001,4,475.0742999999998,SAT,,28.265,
26,6,12,10.591659,0,60.0,2557402,21.1089,0.0,1,10.591659,4,496.18319999999983,SAT,,28.009,
27,9,4,10.624837,0,60.0,656386,21.5419,0.0,1,10.624837,4,517.7250999999999,SAT,,28.456,
28,6,10,9.052019,0,60.0,6730148,18.7966,0.0,1,9.052019,5,536.5216999999999,SAT,,25.749,
29,10,1,9.526683,0,60.0,7132216,19.5231,0.0,1,9.526683,5,556.0447999999999,SAT,,26.343,
30,6,6,8.771778,0,60.0,9072623,17.8173,0.0,1,8.771778,5,573.8620999999999,SAT,,24.57,
31,11,7,8.259087,0,60.0,6314730,17.1262,0.0,1,8.259087,5,590.9883,SAT,,42.527,
32,11,12,10.84018,0,60.0,2557402,21.4118,0.0,1,10.84018,5,612.4001,SAT,,28.407,
33,11,8,10.55552,0,60.0,10589966,21.0501,0.0,1,10.55552,5,633.4502,SAT,,27.998,
34,11,3,5.118225,0,60.0,6149708,11.2794,0.0,1,5.118225,5,644.7296,SAT,,17.748,
35,11,6,8.856443,0,60.0,9072623,17.6401,0.0,1,8.856443,5,662.3697,SAT,,24.343,
36,11,9,11.460478,0,60.0,15945852,21.9554,0.0,1,11.460478,5,684.3251,SAT,,28.87,
37,11,10,9.013425,0,60.0,6730148,18.7514,0.0,1,9.013425,5,703.0765,SAT,,25.551,
38,6,2,5.147507,0,60.0,652693,11.6785,0.0,1,5.147507,6,714.755,SAT,,18.455,
39,12,2,5.055159,0,60.0,652693,11.394,0.0,1,5.055159,6,726.149,SAT,,17.867,
40,12,12,10.885506,0,60.0,2557402,21.3011,0.0,1,10.885506,6,747.4501,SAT,,28.169,
41,12,1,9.704941999999999,0,60.0,7132216,19.5529,0.0,1,9.704941999999999,6,767.003,SAT,,26.387,
42,6,6,9.014848,0,60.0,4936589,17.8728,0.0,1,9.014848,6,784.8758,SAT,,24.587,
43,13,12,10.928291,0,60.0,2557402,21.4455,0.0,1,10.928291,6,806.3213000000001,SAT,,28.371,
44,6,3,5.007149,0,60.0,11467819,11.0943,0.0,1,5.007149,7,817.4156,SAT,,17.551,
45,14,10,9.015065,0,60.0,6730148,18.6056,0.0,1,9.015065,7,836.0212,SAT,,25.471,
46,14,1,9.372358,0,60.0,7132216,19.2434,0.0,1,9.372358,7,855.2646,SAT,,26.113,
47,14,6,8.786049,0,60.0,9072623,17.7139,0.0,1,8.786049,7,872.9784999999999,SAT,,24.464,
48,14,3,5.037886,0,60.0,6149708,11.3933,0.0,1,5.037886,7,884.3717999999999,SAT,,17.863,
49,14,11,6.809685,0,60.0,2345062,14.3389,0.0,1,6.809685,7,898.7106999999999,SAT,,20.935,
50,14,5,10.266267,0,60.0,2369068,20.327,0.0,1,10.266267,7,919.0376999999999,SAT,,27.182,
51,14,12,10.733336,0,60.0,2557402,21.286,0.0,1,10.733336,7,940.3236999999999,SAT,,28.17,
52,6,4,10.477446,0,60.0,7689686,21.4578,0.0,1,10.477446,7,961.7814999999999,SAT,,28.4,
53,15,6,8.860278,0,60.0,4936589,17.7768,0.0,1,8.860278,7,979.5582999999999,SAT,,24.577,
54,15,5,9.908989,0,60.0,2369068,20.2047,0.0,1,9.908989,7,999.7629999999999,SAT,,32.054,
