Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,10.87117,0,60.0,2701587,20.8067,0.0,1,10.87117,0,20.8067,SAT,,30.559,
2,1,1,10.572481,0,60.0,4816591,20.2463,0.0,1,10.572481,1,41.053,SAT,,28.026,
3,2,1,10.400137,0,60.0,4816591,20.1064,0.0,1,10.400137,1,61.1594,SAT,,27.581,
4,2,1,10.293927,0,60.0,2701587,20.1462,0.0,1,10.293927,1,81.3056,SAT,,27.66,
5,2,1,9.997436,0,60.0,2692551,19.7204,0.0,1,9.997436,1,101.026,SAT,,27.059,
6,3,1,10.231109,0,60.0,2692551,20.3162,0.0,1,10.231109,1,121.34219999999999,SAT,,27.613,
7,2,1,13.505765,0,60.0,720764,24.3964,0.0,1,13.505765,2,145.7386,SAT,,42.089,
8,4,1,11.897307,0,60.0,720764,22.407,0.0,1,11.897307,2,168.1456,SAT,,29.918,
9,2,1,12.418949,0,60.0,15497336,23.2502,0.0,1,12.418949,2,191.3958,SAT,,30.822,
10,5,1,12.937152,0,60.0,2701587,23.8729,0.0,1,12.937152,2,215.26870000000002,SAT,,31.684,
