Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-1.0,0,60.0,668357,1.2028,0.0,1,-1.0,0,1.2028,SAT,,9.674,
2,1,1,-0.9333333333333333,0,60.0,43870,1.03664,0.0,1,-0.9333333333333333,1,2.23944,SAT,,7.931,
3,2,1,1.0E9,0,60.0,43870,0.0,0.0,-1,1.0E9,1,2.23944,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.591,
4,1,1,-0.9666666666666667,0,60.0,11566310,1.0511,0.0,1,-0.9666666666666667,1,3.29054,SAT,,7.409,
5,3,1,1.0E9,0,60.0,43870,0.0,0.0,-1,1.0E9,1,3.29054,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.47,
