Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.227353,0,60.0,15828581,24.2322,0.0,1,12.227353,0,24.2322,SAT,,36.24,
2,1,1,12.71367,0,60.0,16476193,25.0291,0.0,1,12.71367,1,49.2613,SAT,,35.82,
3,2,1,11.612835,0,60.0,15828581,22.9751,0.0,1,11.612835,1,72.2364,SAT,,31.375,
4,2,1,12.848887,0,60.0,16476193,25.0388,0.0,1,12.848887,1,97.2752,SAT,,34.04,
5,2,1,13.016953,0,60.0,1638691,25.3384,0.0,1,13.016953,1,122.61359999999999,SAT,,33.351,
6,3,1,12.720437,0,60.0,16476193,24.6008,0.0,1,12.720437,1,147.21439999999998,SAT,,32.428,
7,2,1,12.820042,0,60.0,14577362,24.5177,0.0,1,12.820042,2,171.73209999999997,SAT,,32.388,
8,4,1,12.448585,0,60.0,14577362,24.6413,0.0,1,12.448585,2,196.37339999999998,SAT,,32.456,
9,4,1,12.585182,0,60.0,16476193,24.809,0.0,1,12.585182,2,221.18239999999997,SAT,,32.528,
