Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-1.0,0,60.0,3179984,1.29421,0.0,1,-1.0,0,1.29421,SAT,,10.179,
2,1,1,-0.9666666666666667,0,60.0,3131814,1.2902,0.0,1,-0.9666666666666667,1,2.58441,SAT,,9.913,
3,2,1,1.0E9,0,60.0,3179984,0.0,0.0,-1,1.0E9,1,2.58441,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.597,
4,1,1,-1.0,0,60.0,13480336,1.10309,0.0,1,-1.0,1,3.6875,SAT,,7.463,
5,3,1,-0.3333333333333333,0,60.0,3131814,1.21162,0.0,1,-0.3333333333333333,1,4.89912,SAT,,7.51,
6,1,1,-0.9666666666666667,0,60.0,7109060,1.06986,0.0,1,-0.9666666666666667,2,5.96898,SAT,,7.43,
7,4,1,-0.26666666666666666,0,60.0,13480336,1.26756,0.0,1,-0.26666666666666666,2,7.23654,SAT,,7.546,
8,1,1,-0.9333333333333333,0,60.0,4062677,1.03983,0.0,1,-0.9333333333333333,2,8.27637,SAT,,7.257,
9,5,1,1.0E9,0,60.0,13480336,0.0,0.0,-1,1.0E9,2,8.27637,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.508,
10,1,1,-1.0,0,60.0,12659198,1.03903,0.0,1,-1.0,3,9.3154,SAT,,7.423,
11,6,1,1.0E9,0,60.0,13480336,0.0,0.0,-1,1.0E9,3,9.3154,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.37,
12,1,1,-0.9,0,60.0,3897970,1.07876,0.0,1,-0.9,3,10.39416,SAT,,7.395,
13,7,1,1.0E9,0,60.0,3179984,0.0,0.0,-1,1.0E9,3,10.39416,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.403,
14,1,1,-0.8666666666666667,0,60.0,4433445,1.04139,0.0,1,-0.8666666666666667,4,11.43555,SAT,,7.368,
15,8,1,1.0E9,0,60.0,7109060,0.0,0.0,-1,1.0E9,4,11.43555,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.391,
16,1,1,-0.9,0,60.0,2527266,1.03172,0.0,1,-0.9,4,12.46727,SAT,,7.222,
17,9,1,1.0E9,0,60.0,12659198,0.0,0.0,-1,1.0E9,4,12.46727,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.374,
18,1,1,-0.9666666666666667,0,60.0,15005818,1.0281,0.0,1,-0.9666666666666667,5,13.49537,SAT,,7.525,
19,10,1,1.0E9,0,60.0,4062677,0.0,0.0,-1,1.0E9,5,13.49537,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.38,
20,1,1,-0.9666666666666667,0,60.0,15275478,1.06699,0.0,1,-0.9666666666666667,5,14.56236,SAT,,7.37,
21,11,1,1.0E9,0,60.0,3897970,0.0,0.0,-1,1.0E9,5,14.56236,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.336,
22,1,1,-0.9666666666666667,0,60.0,15160138,1.02683,0.0,1,-0.9666666666666667,6,15.58919,SAT,,7.229,
23,12,1,1.0E9,0,60.0,7109060,0.0,0.0,-1,1.0E9,6,15.58919,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.502,
24,1,1,-0.9,0,60.0,13879971,1.09312,0.0,1,-0.9,6,16.68231,SAT,,7.327,
25,13,1,1.0E9,0,60.0,4062677,0.0,0.0,-1,1.0E9,6,16.68231,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.447,
26,1,1,-1.0,0,60.0,14397375,1.14468,0.0,1,-1.0,7,17.826990000000002,SAT,,7.481,
27,14,1,1.0E9,0,60.0,13879971,0.0,0.0,-1,1.0E9,7,17.826990000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.482,
28,1,1,-0.9,0,60.0,15037849,1.11962,0.0,1,-0.9,7,18.946610000000003,SAT,,7.386,
29,15,1,-0.8666666666666667,0,60.0,4433445,1.12117,0.0,1,-0.8666666666666667,7,20.067780000000003,SAT,,7.369,
30,1,1,-0.9666666666666667,0,60.0,7615367,1.0999,0.0,1,-0.9666666666666667,8,21.167680000000004,SAT,,7.423,
31,16,1,-0.26666666666666666,0,60.0,13480336,1.27662,0.0,1,-0.26666666666666666,8,22.444300000000005,SAT,,7.669,
32,1,1,-0.9666666666666667,0,60.0,9794912,1.07986,0.0,1,-0.9666666666666667,8,23.524160000000006,SAT,,7.528,
33,17,1,1.0E9,0,60.0,13879971,0.0,0.0,-1,1.0E9,8,23.524160000000006,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.608,
34,1,1,-0.9666666666666667,0,60.0,10148639,1.07567,0.0,1,-0.9666666666666667,9,24.599830000000004,SAT,,7.544,
35,18,1,1.0E9,0,60.0,12659198,0.0,0.0,-1,1.0E9,9,24.599830000000004,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.529,
36,1,1,-0.9666666666666667,0,60.0,12003324,1.06319,0.0,1,-0.9666666666666667,9,25.663020000000003,SAT,,7.525,
37,19,1,1.0E9,0,60.0,7615367,0.0,0.0,-1,1.0E9,9,25.663020000000003,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.477,
38,1,1,-0.9,0,60.0,10860941,1.00652,0.0,1,-0.9,10,26.669540000000005,SAT,,7.311,
39,20,1,1.0E9,0,60.0,2527266,0.0,0.0,-1,1.0E9,10,26.669540000000005,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.451,
40,1,1,-0.9333333333333333,0,60.0,3535061,1.0567,0.0,1,-0.9333333333333333,10,27.726240000000004,SAT,,7.312,
41,21,1,1.0E9,0,60.0,12003324,0.0,0.0,-1,1.0E9,10,27.726240000000004,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.414,
42,1,1,-0.8666666666666667,0,60.0,13693438,1.02754,0.0,1,-0.8666666666666667,11,28.753780000000003,SAT,,7.224,
43,22,1,1.0E9,0,60.0,4062677,0.0,0.0,-1,1.0E9,11,28.753780000000003,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.387,
44,1,1,-0.9666666666666667,0,60.0,14958331,1.02938,0.0,1,-0.9666666666666667,11,29.783160000000002,SAT,,7.23,
45,23,1,-0.3,0,60.0,7109060,1.0612,0.0,1,-0.3,11,30.84436,SAT,,7.226,
46,1,1,-0.9666666666666667,0,60.0,16114916,1.04184,0.0,1,-0.9666666666666667,12,31.886200000000002,SAT,,7.35,
47,24,1,1.0E9,0,60.0,9794912,0.0,0.0,-1,1.0E9,12,31.886200000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.396,
48,1,1,-0.9666666666666667,0,60.0,9203149,1.02797,0.0,1,-0.9666666666666667,12,32.914170000000006,SAT,,7.223,
49,25,1,1.0E9,0,60.0,13693438,0.0,0.0,-1,1.0E9,12,32.914170000000006,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.311,
50,1,1,-1.0,0,60.0,14836765,1.04706,0.0,1,-1.0,13,33.96123000000001,SAT,,7.239,
51,26,1,1.0E9,0,60.0,9794912,0.0,0.0,-1,1.0E9,13,33.96123000000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.348,
52,1,1,-0.9333333333333333,0,60.0,8269336,1.04566,0.0,1,-0.9333333333333333,13,35.006890000000006,SAT,,7.2,
53,27,1,-0.9,0,60.0,4062677,1.06706,0.0,1,-0.9,13,36.07395,SAT,,7.218,
54,1,1,-0.9333333333333333,0,60.0,8424269,1.04809,0.0,1,-0.9333333333333333,14,37.122040000000005,SAT,,7.228,
55,28,1,1.0E9,0,60.0,13480336,0.0,0.0,-1,1.0E9,14,37.122040000000005,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.486,
56,1,1,-0.9,0,60.0,2766229,1.06496,0.0,1,-0.9,14,38.187000000000005,SAT,,7.248,
57,29,1,1.0E9,0,60.0,4062677,0.0,0.0,-1,1.0E9,14,38.187000000000005,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.482,
58,1,1,-0.9,0,60.0,13036296,1.08532,0.0,1,-0.9,15,39.27232000000001,SAT,,7.396,
59,30,1,1.0E9,0,60.0,13693438,0.0,0.0,-1,1.0E9,15,39.27232000000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.494,
60,1,1,-0.9666666666666667,0,60.0,6591572,1.04904,0.0,1,-0.9666666666666667,15,40.321360000000006,SAT,,7.288,
61,31,1,-0.26666666666666666,0,60.0,9794912,1.31759,0.0,1,-0.26666666666666666,15,41.63895000000001,SAT,,7.557,
62,1,1,-0.9666666666666667,0,60.0,10492472,1.06324,0.0,1,-0.9666666666666667,16,42.70219000000001,SAT,,8.219,
63,32,1,1.0E9,0,60.0,12003324,0.0,0.0,-1,1.0E9,16,42.70219000000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.479,
64,1,1,-1.0,0,60.0,2519492,0.995267,0.0,1,-1.0,16,43.69745700000001,SAT,,7.224,
