Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-0.9333333333333333,0,60.0,12518249,1.04513,0.0,1,-0.9333333333333333,0,1.04513,SAT,,9.366,
2,1,1,-0.9333333333333333,0,60.0,15742289,0.988381,0.0,1,-0.9333333333333333,1,2.033511,SAT,,7.856,
3,2,1,-0.3,0,60.0,12518249,0.895554,0.0,1,-0.3,1,2.9290649999999996,SAT,,7.18,
4,1,1,-0.9666666666666667,0,60.0,1080097,0.961486,0.0,1,-0.9666666666666667,1,3.8905509999999994,SAT,,7.271,
5,3,1,1.0E9,0,60.0,15742289,0.0,0.0,-1,1.0E9,1,3.8905509999999994,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.294,
6,1,1,-0.9666666666666667,0,60.0,380913,0.943816,0.0,1,-0.9666666666666667,2,4.834366999999999,SAT,,7.327,
7,4,1,-0.2,0,60.0,1080097,1.15014,0.0,1,-0.2,2,5.984506999999999,SAT,,7.504,
8,1,1,-0.9666666666666667,0,60.0,7901998,0.924321,0.0,1,-0.9666666666666667,2,6.908827999999999,SAT,,7.281,
9,5,1,1.0E9,0,60.0,15742289,0.0,0.0,-1,1.0E9,2,6.908827999999999,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.302,
10,1,1,-0.9333333333333333,0,60.0,7373006,0.929622,0.0,1,-0.9333333333333333,3,7.838449999999999,SAT,,7.172,
11,6,1,-0.3,0,60.0,12518249,0.963243,0.0,1,-0.3,3,8.801692999999998,SAT,,7.287,
12,1,1,-0.9666666666666667,0,60.0,11669847,0.932357,0.0,1,-0.9666666666666667,3,9.734049999999998,SAT,,7.186,
13,7,1,-0.26666666666666666,0,60.0,11669847,1.13911,0.0,1,-0.26666666666666666,3,10.873159999999999,SAT,,7.464,
14,1,1,-0.9,0,60.0,1917789,0.956475,0.0,1,-0.9,4,11.829634999999998,SAT,,7.417,
15,8,1,1.0E9,0,60.0,11669847,0.0,0.0,-1,1.0E9,4,11.829634999999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.297,
16,1,1,-1.0,0,60.0,180093,0.950929,0.0,1,-1.0,4,12.780563999999998,SAT,,7.274,
17,9,1,1.0E9,0,60.0,1080097,0.0,0.0,-1,1.0E9,4,12.780563999999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.271,
18,1,1,-0.9666666666666667,0,60.0,10371872,0.942311,0.0,1,-0.9666666666666667,5,13.722874999999998,SAT,,7.448,
19,10,1,1.0E9,0,60.0,7901998,0.0,0.0,-1,1.0E9,5,13.722874999999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.301,
20,1,1,-0.9,0,60.0,12187625,0.937095,0.0,1,-0.9,5,14.659969999999998,SAT,,7.279,
21,11,1,1.0E9,0,60.0,7373006,0.0,0.0,-1,1.0E9,5,14.659969999999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.266,
22,1,1,-1.0,0,60.0,3758469,0.951576,0.0,1,-1.0,6,15.611545999999997,SAT,,7.281,
23,12,1,1.0E9,0,60.0,180093,0.0,0.0,-1,1.0E9,6,15.611545999999997,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.282,
24,1,1,-0.9333333333333333,0,60.0,9648367,0.947081,0.0,1,-0.9333333333333333,6,16.558626999999998,SAT,,7.277,
25,13,1,1.0E9,0,60.0,7901998,0.0,0.0,-1,1.0E9,6,16.558626999999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.279,
26,1,1,-1.0,0,60.0,3964234,0.937799,0.0,1,-1.0,7,17.496426,SAT,,7.269,
27,14,1,-1.0,0,60.0,3758469,0.94656,0.0,1,-1.0,7,18.442986,SAT,,7.252,
28,14,1,-0.9333333333333333,0,60.0,10371872,0.953015,0.0,1,-0.9333333333333333,7,19.396001000000002,SAT,,7.261,
29,14,1,-0.9,0,60.0,11669847,0.937038,0.0,1,-0.9,7,20.333039000000003,SAT,,7.254,
30,1,1,-0.9666666666666667,0,60.0,16125695,0.964132,0.0,1,-0.9666666666666667,7,21.297171000000002,SAT,,7.236,
31,15,1,1.0E9,0,60.0,1917789,0.0,0.0,-1,1.0E9,7,21.297171000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.257,
32,1,1,-0.9666666666666667,0,60.0,7568765,0.952611,0.0,1,-0.9666666666666667,8,22.249782000000003,SAT,,7.373,
33,16,1,-0.8,0,60.0,380913,0.866339,0.0,1,-0.8,8,23.116121000000003,SAT,,7.108,
34,1,1,-1.0,0,60.0,7587700,0.947985,0.0,1,-1.0,8,24.064106000000002,SAT,,7.264,
35,17,1,1.0E9,0,60.0,180093,0.0,0.0,-1,1.0E9,8,24.064106000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.254,
36,1,1,-0.9,0,60.0,2129189,0.941834,0.0,1,-0.9,9,25.005940000000002,SAT,,7.286,
37,18,1,-0.9,0,60.0,9648367,0.935197,0.0,1,-0.9,9,25.941137,SAT,,7.23,
38,1,1,-1.0,0,60.0,13442630,0.945225,0.0,1,-1.0,9,26.886362000000002,SAT,,7.247,
39,19,1,1.0E9,0,60.0,13442630,0.0,0.0,-1,1.0E9,9,26.886362000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.232,
40,1,1,-0.9,0,60.0,11204918,0.936393,0.0,1,-0.9,10,27.822755,SAT,,7.232,
41,20,1,1.0E9,0,60.0,12518249,0.0,0.0,-1,1.0E9,10,27.822755,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.185,
42,1,1,-0.9333333333333333,0,60.0,11947150,0.933131,0.0,1,-0.9333333333333333,10,28.755886,SAT,,7.23,
43,21,1,1.0E9,0,60.0,180093,0.0,0.0,-1,1.0E9,10,28.755886,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.203,
44,1,1,-1.0,0,60.0,4529066,0.935872,0.0,1,-1.0,11,29.691758,SAT,,7.219,
45,22,1,-0.3,0,60.0,7587700,1.22778,0.0,1,-0.3,11,30.919538,SAT,,7.434,
46,1,1,-0.9666666666666667,0,60.0,15038121,0.926547,0.0,1,-0.9666666666666667,11,31.846085,SAT,,7.125,
47,23,1,1.0E9,0,60.0,3964234,0.0,0.0,-1,1.0E9,11,31.846085,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.234,
48,1,1,-0.9666666666666667,0,60.0,13724223,0.921412,0.0,1,-0.9666666666666667,12,32.767497,SAT,,7.136,
49,24,1,-0.3,0,60.0,4529066,0.959972,0.0,1,-0.3,12,33.727469,SAT,,7.229,
50,1,1,-0.9,0,60.0,7501550,0.92436,0.0,1,-0.9,12,34.651829,SAT,,7.107,
51,25,1,1.0E9,0,60.0,3964234,0.0,0.0,-1,1.0E9,12,34.651829,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.228,
52,1,1,-0.9666666666666667,0,60.0,11149716,0.916578,0.0,1,-0.9666666666666667,13,35.568407,SAT,,7.131,
53,26,1,1.0E9,0,60.0,3758469,0.0,0.0,-1,1.0E9,13,35.568407,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.224,
54,1,1,-0.9666666666666667,0,60.0,2426635,0.911964,0.0,1,-0.9666666666666667,13,36.480371,SAT,,7.128,
55,27,1,1.0E9,0,60.0,13724223,0.0,0.0,-1,1.0E9,13,36.480371,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.194,
56,1,1,-1.0,0,60.0,14134462,0.905958,0.0,1,-1.0,14,37.386328999999996,SAT,,7.11,
57,28,1,-0.9,0,60.0,7373006,1.08579,0.0,1,-0.9,14,38.472119,SAT,,7.319,
58,1,1,-0.9666666666666667,0,60.0,5982416,0.881649,0.0,1,-0.9666666666666667,14,39.353768,SAT,,7.125,
59,29,1,1.0E9,0,60.0,11204918,0.0,0.0,-1,1.0E9,14,39.353768,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.211,
60,1,1,-0.9666666666666667,0,60.0,12829350,0.921012,0.0,1,-0.9666666666666667,15,40.27478,SAT,,7.876,
61,30,1,-0.6666666666666666,0,60.0,13724223,0.933865,0.0,1,-0.6666666666666666,15,41.208645,SAT,,7.129,
