Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.070579,0,60.0,2702708,21.7136,0.0,1,12.070579,0,21.7136,SAT,,31.704,
2,1,1,11.320921,0,60.0,595167,20.5272,0.0,1,11.320921,1,42.2408,SAT,,28.374,
3,2,1,11.092736,0,60.0,595167,20.1014,0.0,1,11.092736,1,62.342200000000005,SAT,,27.217,
4,2,1,10.518995,0,60.0,2702708,19.4784,0.0,1,10.518995,1,81.82060000000001,SAT,,26.667,
5,2,1,10.365207,0,60.0,4156112,19.235,0.0,1,10.365207,1,101.05560000000001,SAT,,26.181,
6,3,1,9.920599,0,60.0,2702708,18.8935,0.0,1,9.920599,1,119.94910000000002,SAT,,25.771,
7,3,1,9.682794,0,60.0,595167,18.6711,0.0,1,9.682794,1,138.6202,SAT,,25.565,
8,3,1,9.554654,0,60.0,4156112,18.4958,0.0,1,9.554654,1,157.116,SAT,,25.472,
9,3,1,9.442915,0,60.0,16521315,18.4174,0.0,1,9.442915,2,175.53340000000003,SAT,,25.48,
10,4,1,9.32331,0,60.0,2702708,18.3824,0.0,1,9.32331,2,193.91580000000002,SAT,,25.27,
11,4,1,9.176175,0,60.0,595167,18.3935,0.0,1,9.176175,2,212.3093,SAT,,25.443,
12,4,1,9.206803,0,60.0,4156112,18.276,0.0,1,9.206803,2,230.58530000000002,SAT,,25.155,
