Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.17816,0,60.0,2858599,24.1461,0.0,1,12.17816,0,24.1461,SAT,,36.128,
2,1,1,12.702131,0,60.0,14065360,25.0836,0.0,1,12.702131,1,49.2297,SAT,,36.004,
3,2,1,11.581185,0,60.0,14065360,23.0123,0.0,1,11.581185,1,72.242,SAT,,31.303,
4,2,1,12.851122,0,60.0,2858599,25.0116,0.0,1,12.851122,1,97.2536,SAT,,34.028,
5,2,1,12.934795,0,60.0,13731719,25.5594,0.0,1,12.934795,1,122.813,SAT,,33.558,
6,3,1,12.606325,0,60.0,2858599,24.5219,0.0,1,12.606325,1,147.3349,SAT,,32.352,
7,2,1,12.703902,0,60.0,13241119,24.3947,0.0,1,12.703902,2,171.7296,SAT,,32.271,
8,4,1,12.394489,0,60.0,13731719,24.5475,0.0,1,12.394489,2,196.27710000000002,SAT,,32.361,
9,4,1,12.433097,0,60.0,2858599,24.4366,0.0,1,12.433097,2,220.71370000000002,SAT,,32.108,
