Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-0.9666666666666667,0,60.0,8534496,1.18373,0.0,1,-0.9666666666666667,0,1.18373,SAT,,9.428,
2,1,1,-0.9333333333333333,0,60.0,7320984,1.12344,0.0,1,-0.9333333333333333,1,2.30717,SAT,,8.255,
3,2,1,-0.26666666666666666,0,60.0,7320984,1.03911,0.0,1,-0.26666666666666666,1,3.34628,SAT,,7.535,
4,1,1,-0.9333333333333333,0,60.0,1677411,1.0638,0.0,1,-0.9333333333333333,1,4.410080000000001,SAT,,7.768,
5,3,1,1.0E9,0,60.0,1677411,0.0,0.0,-1,1.0E9,1,4.410080000000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,8.04,
