Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,11.950467,0,60.0,7675979,21.5383,0.0,1,11.950467,0,21.5383,SAT,,31.543,
2,1,1,11.407924,0,60.0,1977218,20.5337,0.0,1,11.407924,1,42.072,SAT,,28.619,
3,2,1,11.023048,0,60.0,7675979,20.1232,0.0,1,11.023048,1,62.1952,SAT,,27.231,
4,2,1,10.564669,0,60.0,1977218,19.4712,0.0,1,10.564669,1,81.6664,SAT,,26.49,
5,2,1,10.302644,0,60.0,4087813,19.1264,0.0,1,10.302644,1,100.7928,SAT,,26.165,
6,3,1,9.903738,0,60.0,1977218,18.79,0.0,1,9.903738,1,119.58279999999999,SAT,,25.666,
7,3,1,9.510457,0,60.0,4087813,18.4413,0.0,1,9.510457,1,138.02409999999998,SAT,,25.343,
8,3,1,9.313508,0,60.0,7675979,18.1982,0.0,1,9.313508,1,156.22229999999996,SAT,,25.149,
9,3,1,9.027697,0,60.0,14897376,17.9217,0.0,1,9.027697,2,174.14399999999995,SAT,,24.753,
10,4,1,8.861811,0,60.0,4087813,17.8233,0.0,1,8.861811,2,191.96729999999994,SAT,,24.613,
11,4,1,8.946611,0,60.0,14897376,18.0908,0.0,1,8.946611,2,210.05809999999994,SAT,,24.922,
12,4,1,9.058335,0,60.0,1977218,17.8547,0.0,1,9.058335,2,227.91279999999995,SAT,,24.629,
