Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.006923,0,60.0,7811726,21.6078,0.0,1,12.006923,0,21.6078,SAT,,31.644,
2,1,1,11.244868,0,60.0,15435243,20.2469,0.0,1,11.244868,1,41.8547,SAT,,28.274,
3,2,1,10.515533,0,60.0,15435243,19.4188,0.0,1,10.515533,1,61.2735,SAT,,26.397,
4,2,1,9.644136,0,60.0,7811726,18.4984,0.0,1,9.644136,1,79.7719,SAT,,25.315,
5,2,1,9.642273,0,60.0,4147419,18.3459,0.0,1,9.642273,1,98.1178,SAT,,25.209,
6,3,1,9.573783,0,60.0,7811726,18.2796,0.0,1,9.573783,1,116.3974,SAT,,25.127,
7,3,1,9.429976,0,60.0,15435243,17.9706,0.0,1,9.429976,1,134.368,SAT,,24.804,
8,3,1,9.326738,0,60.0,4147419,17.7874,0.0,1,9.326738,1,152.1554,SAT,,24.622,
9,3,1,9.239691,0,60.0,9477429,17.9044,0.0,1,9.239691,2,170.0598,SAT,,24.815,
10,4,1,9.134655,0,60.0,15435243,17.9944,0.0,1,9.134655,2,188.05419999999998,SAT,,24.929,
11,4,1,9.427365,0,60.0,9477429,18.3684,0.0,1,9.427365,2,206.4226,SAT,,26.288,
12,4,1,9.478051,0,60.0,7811726,18.1327,0.0,1,9.478051,2,224.5553,SAT,,25.015,
