Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,10.83704,0,60.0,1399991,20.835,0.0,1,10.83704,0,20.835,SAT,,30.392,
2,1,1,10.726596,0,60.0,3317383,20.5489,0.0,1,10.726596,1,41.3839,SAT,,28.211,
3,2,1,10.715726,0,60.0,1399991,20.4737,0.0,1,10.715726,1,61.8576,SAT,,27.905,
4,2,1,10.675484,0,60.0,3317383,20.5399,0.0,1,10.675484,1,82.3975,SAT,,27.979,
5,2,1,10.335119,0,60.0,5878414,20.0902,0.0,1,10.335119,1,102.48769999999999,SAT,,27.359,
6,3,1,11.000976,0,60.0,3317383,20.9263,0.0,1,11.000976,1,123.41399999999999,SAT,,28.355,
7,2,1,13.595401,0,60.0,9480515,24.4696,0.0,1,13.595401,2,147.8836,SAT,,39.926,
8,4,1,11.894111,0,60.0,5878414,22.4526,0.0,1,11.894111,2,170.3362,SAT,,30.027,
9,2,1,12.490644,0,60.0,12348508,23.2986,0.0,1,12.490644,2,193.63479999999998,SAT,,30.821,
10,5,1,12.951158,0,60.0,12348508,24.0652,0.0,1,12.951158,2,217.7,SAT,,31.766,
