Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-1.0,0,60.0,7132216,1.02073,0.0,1,-1.0,0,1.02073,SAT,,7.523,
2,1,1,-0.9,0,60.0,16300784,1.08494,0.0,1,-0.9,1,2.10567,SAT,,8.003,
3,2,1,1.0E9,0,60.0,7132216,0.0,0.0,-1,1.0E9,1,2.10567,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.478,
4,1,1,-0.9666666666666667,0,60.0,9885402,1.02044,0.0,1,-0.9666666666666667,1,3.1261099999999997,SAT,,7.412,
5,3,1,1.0E9,0,60.0,7132216,0.0,0.0,-1,1.0E9,1,3.1261099999999997,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.47,
