Solver,,,Solvers/RandomForest,Solvers/RandomForest,Solvers/RandomForest
Meta,,,Value,Seed,Configuration
Objective,Instance,Run,,,
PAR10,Instances/Iris/Iris.csv,16,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_16'}"
PAR10,Instances/Iris/Iris.csv,17,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_17'}"
PAR10,Instances/Iris/Iris.csv,18,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_18'}"
PAR10,Instances/Iris/Iris.csv,19,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_19'}"
PAR10,Instances/Iris/Iris.csv,20,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_20'}"
PAR10,Instances/Iris/Iris.csv,21,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.17670000110520712', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_21'}"
PAR10,Instances/Iris/Iris.csv,22,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_22'}"
PAR10,Instances/Iris/Iris.csv,23,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '14', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_23'}"
PAR10,Instances/Iris/Iris.csv,24,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_24'}"
PAR10,Instances/Iris/Iris.csv,25,,,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth_type': 'None', 'max_features_special': 'sqrt', 'max_features_type': 'special', 'max_leaf_nodes_type': 'None', 'max_samples_type': 'None', 'min_impurity_decrease': '0.0', 'min_samples_leaf': '1', 'min_samples_split': '2', 'min_weight_fraction_leaf': '0.0', 'n_estimators': '100', 'oob_score': 'True', 'configuration_id': 'SMAC2_1744614958.9824817_25'}"
