Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-0.9666666666666667,0,60.0,2701587,1.13826,0.0,1,-0.9666666666666667,0,1.13826,SAT,,9.088,
2,1,1,-1.0,0,60.0,4816591,1.06051,0.0,1,-1.0,1,2.19877,SAT,,8.149,
3,2,1,1.0E9,0,60.0,4816591,0.0,0.0,-1,1.0E9,1,2.19877,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.736,
4,1,1,-0.9333333333333333,0,60.0,2692551,1.07703,0.0,1,-0.9333333333333333,1,3.2758000000000003,SAT,,7.644,
5,3,1,1.0E9,0,60.0,2692551,0.0,0.0,-1,1.0E9,1,3.2758000000000003,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.703,
